,drg_definition,provider_id,provider_name,provider_street_address,provider_city,provider_state,provider_zip_code,hospital_referral_region_hrr_description,total_discharges,average_covered_charges,average_total_payments,average_medicare_payments,average_consumer_payments,State,govenors_party_in_2017,state_party,total_covered_charges,total_payments,total_medicare_payments,total_consumer_payments,per capita average covered charges,per capita average total payments,per capita average medicare payments,per capita average consumer payments,per capita average covered - per capita average total payments
48019,468 - REVISION OF HIP OR KNEE REPLACEMENT W/O CC/MCC,110035,WELLSTAR KENNESTONE HOSPITAL,677 CHURCH STREET,MARIETTA,GA,30060,GA - Atlanta,30,79734.2,17151.0,13467.03,3683.9699999999993,Georgia,R,GA- R,2392026.0,514530.0,404010.9,110519.09999999998,79734.2,17151.0,13467.03,3683.9699999999993,62583.2
48179,467 - REVISION OF HIP OR KNEE REPLACEMENT W CC,110036,"MEMORIAL HEALTH UNIV MED CEN, INC",4700 WATERS AVENUE,SAVANNAH,GA,31403,GA - Savannah,19,79861.05,22180.74,16480.32,5700.420000000002,Georgia,R,GA- R,1517359.95,421434.06000000006,313126.08,108307.98000000004,79861.05,22180.74,16480.32,5700.420000000002,57680.31
48180,468 - REVISION OF HIP OR KNEE REPLACEMENT W/O CC/MCC,110036,"MEMORIAL HEALTH UNIV MED CEN, INC",4700 WATERS AVENUE,SAVANNAH,GA,31403,GA - Savannah,17,75728.76,17805.0,14051.94,3753.0599999999995,Georgia,R,GA- R,1287388.92,302685.0,238882.98,63802.01999999999,75728.76,17805.0,14051.94,3753.0599999999995,57923.759999999995
48453,467 - REVISION OF HIP OR KNEE REPLACEMENT W CC,110043,ST JOSEPH'S HOSPITAL - SAVANNAH,11705 MERCY BOULEVARD,SAVANNAH,GA,31419,GA - Savannah,13,93099.08,18013.92,17042.08,971.8399999999965,Georgia,R,GA- R,1210288.04,234180.95999999996,221547.04000000004,12633.919999999955,93099.08,18013.92,17042.08,971.8399999999965,75085.16
48454,468 - REVISION OF HIP OR KNEE REPLACEMENT W/O CC/MCC,110043,ST JOSEPH'S HOSPITAL - SAVANNAH,11705 MERCY BOULEVARD,SAVANNAH,GA,31419,GA - Savannah,40,68645.1,14728.18,12990.15,1738.0300000000007,Georgia,R,GA- R,2745804.0,589127.2,519606.0,69521.20000000003,68645.1,14728.179999999998,12990.15,1738.0300000000007,53916.92
48642,467 - REVISION OF HIP OR KNEE REPLACEMENT W CC,110054,FLOYD MEDICAL CENTER,304 TURNER MCCALL BLVD P O BOX 233,ROME,GA,30162,GA - Rome,13,140405.0,22751.08,21729.77,1021.3100000000013,Georgia,R,GA- R,1825265.0,295764.04000000004,282487.01,13277.030000000017,140405.0,22751.08,21729.77,1021.3100000000013,117653.92
49123,468 - REVISION OF HIP OR KNEE REPLACEMENT W/O CC/MCC,110076,DEKALB MEDICAL CENTER,2701 N DECATUR ROAD,DECATUR,GA,30033,GA - Atlanta,24,51753.83,18316.92,16303.33,2013.5899999999983,Georgia,R,GA- R,1242091.92,439606.07999999996,391279.92,48326.15999999996,51753.829999999994,18316.92,16303.33,2013.5899999999983,33436.909999999996
49235,467 - REVISION OF HIP OR KNEE REPLACEMENT W CC,110078,EMORY UNIVERSITY HOSPITAL MIDTOWN,"550 PEACHTREE STREET,  NE",ATLANTA,GA,30308,GA - Atlanta,19,56862.68,23431.68,19548.47,3883.209999999999,Georgia,R,GA- R,1080390.92,445201.92,371420.93000000005,73780.98999999999,56862.67999999999,23431.68,19548.47,3883.2099999999996,33431.0
49236,468 - REVISION OF HIP OR KNEE REPLACEMENT W/O CC/MCC,110078,EMORY UNIVERSITY HOSPITAL MIDTOWN,"550 PEACHTREE STREET,  NE",ATLANTA,GA,30308,GA - Atlanta,22,41710.23,18692.64,16330.73,2361.91,Georgia,R,GA- R,917625.06,411238.07999999996,359276.06,51962.02,41710.23,18692.64,16330.73,2361.91,23017.590000000004
49481,468 - REVISION OF HIP OR KNEE REPLACEMENT W/O CC/MCC,110082,"SAINT JOSEPH'S HOSPITAL OF ATLANTA, INC",5665 PEACHTREE DUNWOODY ROAD,ATLANTA,GA,30342,GA - Atlanta,16,38560.75,14976.81,13750.12,1226.6899999999987,Georgia,R,GA- R,616972.0,239628.96,220001.92,19627.03999999998,38560.75,14976.81,13750.12,1226.6899999999987,23583.940000000002
49647,467 - REVISION OF HIP OR KNEE REPLACEMENT W CC,110083,PIEDMONT HOSPITAL,1968 PEACHTREE RD NW,ATLANTA,GA,30309,GA - Atlanta,17,100728.06,20674.18,18017.0,2657.1800000000003,Georgia,R,GA- R,1712377.02,351461.06,306289.0,45172.060000000005,100728.06,20674.18,18017.0,2657.1800000000003,80053.88
49648,468 - REVISION OF HIP OR KNEE REPLACEMENT W/O CC/MCC,110083,PIEDMONT HOSPITAL,1968 PEACHTREE RD NW,ATLANTA,GA,30309,GA - Atlanta,19,83269.47,15489.37,13535.58,1953.7900000000009,Georgia,R,GA- R,1582119.93,294298.03,257176.02,37122.01000000002,83269.47,15489.37,13535.58,1953.7900000000009,67780.09999999999
50193,467 - REVISION OF HIP OR KNEE REPLACEMENT W CC,110107,"MEDICAL CENTER, NAVICENT HEALTH (THE)",777 HEMLOCK STREET,MACON,GA,31201,GA - Macon,16,75818.62,21481.81,20346.81,1135.0,Georgia,R,GA- R,1213097.92,343708.96,325548.96,18160.0,75818.62,21481.81,20346.81,1135.0,54336.81
50597,468 - REVISION OF HIP OR KNEE REPLACEMENT W/O CC/MCC,110129,ST FRANCIS HOSPITAL,2122 MANCHESTER EXPRESSWAY,COLUMBUS,GA,31995,GA - Columbus,12,71602.17,16815.67,15725.92,1089.7499999999982,Georgia,R,GA- R,859226.04,201788.03999999998,188711.04,13076.999999999978,71602.17,16815.67,15725.92,1089.7499999999982,54786.5
50714,467 - REVISION OF HIP OR KNEE REPLACEMENT W CC,110143,WELLSTAR COBB HOSPITAL,3950 AUSTELL RD,AUSTELL,GA,30106,GA - Atlanta,15,128090.93,25610.07,18039.47,7570.5999999999985,Georgia,R,GA- R,1921363.95,384151.05,270592.05000000005,113558.99999999997,128090.93,25610.07,18039.470000000005,7570.599999999998,102480.86
50848,468 - REVISION OF HIP OR KNEE REPLACEMENT W/O CC/MCC,110161,NORTHSIDE HOSPITAL,"1000 JOHNSON FERRY ROAD, NE",ATLANTA,GA,30342,GA - Atlanta,16,106485.81,18355.88,13871.5,4484.380000000001,Georgia,R,GA- R,1703772.96,293694.08,221944.0,71750.08000000002,106485.81,18355.88,13871.5,4484.380000000001,88129.93
51164,467 - REVISION OF HIP OR KNEE REPLACEMENT W CC,110177,DOCTORS HOSPITAL,3651 WHEELER ROAD,AUGUSTA,GA,30909,GA - Augusta,11,146912.91,19757.45,19044.73,712.7200000000012,Georgia,R,GA- R,1616042.01,217331.95,209492.03,7839.920000000013,146912.91,19757.45,19044.73,712.7200000000012,127155.46
51165,468 - REVISION OF HIP OR KNEE REPLACEMENT W/O CC/MCC,110177,DOCTORS HOSPITAL,3651 WHEELER ROAD,AUGUSTA,GA,30909,GA - Augusta,14,101156.86,15949.86,14827.86,1122.0,Georgia,R,GA- R,1416196.04,223298.04,207590.04,15708.0,101156.86,15949.86,14827.86,1122.0,85207.0
51331,467 - REVISION OF HIP OR KNEE REPLACEMENT W CC,110191,PIEDMONT HENRY HOSPITAL,1133 EAGLE'S LANDING PARKWAY,STOCKBRIDGE,GA,30281,GA - Atlanta,14,121594.43,26314.36,17129.64,9184.720000000001,Georgia,R,GA- R,1702322.02,368401.04000000004,239814.96,128586.08000000002,121594.43000000001,26314.360000000004,17129.64,9184.720000000001,95280.06999999999
51332,468 - REVISION OF HIP OR KNEE REPLACEMENT W/O CC/MCC,110191,PIEDMONT HENRY HOSPITAL,1133 EAGLE'S LANDING PARKWAY,STOCKBRIDGE,GA,30281,GA - Atlanta,17,96334.88,20331.29,13679.41,6651.880000000001,Georgia,R,GA- R,1637692.96,345631.93,232549.97,113081.96000000002,96334.88,20331.29,13679.41,6651.880000000001,76003.59
51477,467 - REVISION OF HIP OR KNEE REPLACEMENT W CC,110200,NORTHSIDE MEDICAL CENTER,100 FRIST COURT,COLUMBUS,GA,31909,GA - Columbus,20,82922.95,19633.25,16088.5,3544.75,Georgia,R,GA- R,1658459.0,392665.0,321770.0,70895.0,82922.95,19633.25,16088.5,3544.75,63289.7
51478,468 - REVISION OF HIP OR KNEE REPLACEMENT W/O CC/MCC,110200,NORTHSIDE MEDICAL CENTER,100 FRIST COURT,COLUMBUS,GA,31909,GA - Columbus,34,68342.91,17657.56,12047.15,5610.410000000002,Georgia,R,GA- R,2323658.94,600357.04,409603.1,190753.94000000006,68342.91,17657.56,12047.15,5610.410000000002,50685.35
52321,468 - REVISION OF HIP OR KNEE REPLACEMENT W/O CC/MCC,130003,ST JOSEPH REGIONAL MEDICAL CENTER,415 SIXTH STREET,LEWISTON,ID,83501,WA - Spokane,23,74296.87,22233.65,19273.91,2959.7400000000016,Idaho,R,ID- R,1708828.0099999998,511373.95,443299.93,68074.02000000003,74296.87,22233.65,19273.91,2959.7400000000016,52063.219999999994
52435,467 - REVISION OF HIP OR KNEE REPLACEMENT W CC,130006,ST LUKE'S REGIONAL MEDICAL CENTER,190 EAST BANNOCK STREET,BOISE,ID,83712,ID - Boise,19,73220.05,23032.0,18509.84,4522.16,Idaho,R,ID- R,1391180.95,437608.0,351686.96,85921.04,73220.05,23032.0,18509.84,4522.16,50188.049999999996
52436,468 - REVISION OF HIP OR KNEE REPLACEMENT W/O CC/MCC,130006,ST LUKE'S REGIONAL MEDICAL CENTER,190 EAST BANNOCK STREET,BOISE,ID,83712,ID - Boise,41,59106.49,17820.41,15088.56,2731.8500000000004,Idaho,R,ID- R,2423366.09,730636.8099999999,618630.96,112005.85000000002,59106.49,17820.41,15088.56,2731.8500000000004,41286.079999999994
52560,467 - REVISION OF HIP OR KNEE REPLACEMENT W CC,130007,SAINT ALPHONSUS REGIONAL MEDICAL CENTER,1055 NORTH CURTIS ROAD,BOISE,ID,83706,ID - Boise,24,72309.0,20770.58,18607.83,2162.75,Idaho,R,ID- R,1735416.0,498493.92000000004,446587.92000000004,51906.0,72309.0,20770.58,18607.83,2162.75,51538.420000000006
52561,468 - REVISION OF HIP OR KNEE REPLACEMENT W/O CC/MCC,130007,SAINT ALPHONSUS REGIONAL MEDICAL CENTER,1055 NORTH CURTIS ROAD,BOISE,ID,83706,ID - Boise,28,54483.86,17716.68,14429.5,3287.1800000000003,Idaho,R,ID- R,1525548.08,496067.04000000004,404026.0,92041.04000000001,54483.86,17716.68,14429.5,3287.1800000000003,36767.18
52781,467 - REVISION OF HIP OR KNEE REPLACEMENT W CC,130028,PORTNEUF MEDICAL CENTER,777 HOSPITAL WAY,POCATELLO,ID,83201,UT - Salt Lake City,11,142171.18,29485.0,28522.36,962.6399999999994,Idaho,R,ID- R,1563882.98,324335.0,313745.96,10589.039999999994,142171.18,29485.0,28522.36,962.6399999999994,112686.18
52782,468 - REVISION OF HIP OR KNEE REPLACEMENT W/O CC/MCC,130028,PORTNEUF MEDICAL CENTER,777 HOSPITAL WAY,POCATELLO,ID,83201,UT - Salt Lake City,20,103699.25,27845.5,20905.8,6939.700000000001,Idaho,R,ID- R,2073985.0,556910.0,418116.0,138794.0,103699.25,27845.5,20905.8,6939.7,75853.75
52881,467 - REVISION OF HIP OR KNEE REPLACEMENT W CC,130049,KOOTENAI HEALTH,2003 KOOTENAI HEALTH WAY,COEUR D'ALENE,ID,83814,WA - Spokane,14,87974.29,25901.64,17031.64,8870.0,Idaho,R,ID- R,1231640.0599999998,362622.95999999996,238442.96,124180.0,87974.29,25901.639999999996,17031.64,8870.0,62072.64999999999
52882,468 - REVISION OF HIP OR KNEE REPLACEMENT W/O CC/MCC,130049,KOOTENAI HEALTH,2003 KOOTENAI HEALTH WAY,COEUR D'ALENE,ID,83814,WA - Spokane,21,71456.9,21356.57,14343.67,7012.9,Idaho,R,ID- R,1500594.9,448487.97,301217.07,147270.9,71456.9,21356.57,14343.67,7012.9,50100.329999999994
52927,468 - REVISION OF HIP OR KNEE REPLACEMENT W/O CC/MCC,130065,MOUNTAIN VIEW HOSPITAL,2325 CORONADO STREET,IDAHO FALLS,ID,83404,ID - Idaho Falls,15,60769.73,17086.4,16210.93,875.4700000000012,Idaho,R,ID- R,911545.9500000001,256296.00000000003,243163.95,13132.050000000017,60769.73,17086.4,16210.93,875.4700000000012,43683.33
53114,467 - REVISION OF HIP OR KNEE REPLACEMENT W CC,140007,PRESENCE SAINT JOSEPH MEDICAL CENTER,333 N MADISON,JOLIET,IL,60435,IL - Joliet,23,149573.74,21402.26,20656.91,745.3499999999985,Illinois,R,IL- R,3440196.0199999996,492251.98,475108.93,17143.049999999967,149573.74,21402.26,20656.91,745.3499999999985,128171.47999999998
53206,467 - REVISION OF HIP OR KNEE REPLACEMENT W CC,140008,LOYOLA GOTTLIEB MEMORIAL HOSPITAL,701 WEST NORTH AVE,MELROSE PARK,IL,60160,IL - Melrose Park,12,54892.5,20988.0,19893.5,1094.5,Illinois,R,IL- R,658710.0,251856.0,238722.0,13134.0,54892.5,20988.0,19893.5,1094.5,33904.5
53389,467 - REVISION OF HIP OR KNEE REPLACEMENT W CC,140010,EVANSTON HOSPITAL,2650 RIDGE AVE,EVANSTON,IL,60201,IL - Evanston,24,97965.83,24812.5,23500.58,1311.9199999999983,Illinois,R,IL- R,2351179.92,595500.0,564013.92,31486.079999999958,97965.83,24812.5,23500.58,1311.9199999999983,73153.33
53390,468 - REVISION OF HIP OR KNEE REPLACEMENT W/O CC/MCC,140010,EVANSTON HOSPITAL,2650 RIDGE AVE,EVANSTON,IL,60201,IL - Evanston,50,70330.46,20097.04,17900.66,2196.380000000001,Illinois,R,IL- R,3516523.0000000005,1004852.0,895033.0,109819.00000000006,70330.46,20097.04,17900.66,2196.380000000001,50233.42000000001
53981,467 - REVISION OF HIP OR KNEE REPLACEMENT W CC,140032,ST ANTHONYS MEMORIAL HOSPITAL,503 N MAPLE STREET,EFFINGHAM,IL,62401,IL - Springfield,14,68683.36,20088.5,19244.5,844.0,Illinois,R,IL- R,961567.04,281239.0,269423.0,11816.0,68683.36,20088.5,19244.5,844.0,48594.86
53982,468 - REVISION OF HIP OR KNEE REPLACEMENT W/O CC/MCC,140032,ST ANTHONYS MEMORIAL HOSPITAL,503 N MAPLE STREET,EFFINGHAM,IL,62401,IL - Springfield,19,53247.74,18295.16,13942.11,4353.049999999999,Illinois,R,IL- R,1011707.0599999999,347608.04,264900.09,82707.94999999998,53247.74,18295.16,13942.11,4353.049999999999,34952.58
54411,468 - REVISION OF HIP OR KNEE REPLACEMENT W/O CC/MCC,140053,ST JOHNS HOSPITAL,800 E CARPENTER ST,SPRINGFIELD,IL,62769,IL - Springfield,15,53824.53,17270.33,15947.67,1322.6600000000017,Illinois,R,IL- R,807367.95,259054.95,239215.05,19839.900000000023,53824.53,17270.33,15947.67,1322.6600000000014,36554.2
55024,467 - REVISION OF HIP OR KNEE REPLACEMENT W CC,140067,SAINT FRANCIS MEDICAL CENTER,530 NE GLEN OAK AVE,PEORIA,IL,61637,IL - Peoria,26,125568.54,28659.77,19735.85,8923.920000000002,Illinois,R,IL- R,3264782.04,745154.02,513132.1,232021.92000000004,125568.54000000001,28659.77,19735.85,8923.920000000002,96908.77
55207,467 - REVISION OF HIP OR KNEE REPLACEMENT W CC,140082,LOUIS A WEISS MEMORIAL HOSPITAL,4646 N MARINE DRIVE,CHICAGO,IL,60640,IL - Chicago,55,95427.67,27907.18,25463.25,2443.9300000000003,Illinois,R,IL- R,5248521.85,1534894.9,1400478.75,134416.15000000002,95427.67,27907.179999999997,25463.25,2443.9300000000003,67520.48999999999
55426,467 - REVISION OF HIP OR KNEE REPLACEMENT W CC,140088,THE UNIVERSITY OF CHICAGO MEDICAL CENTER,5841 SOUTH MARYLAND,CHICAGO,IL,60637,IL - Chicago,14,164701.5,31572.07,28938.86,2633.209999999999,Illinois,R,IL- R,2305821.0,442008.98,405144.04000000004,36864.93999999999,164701.5,31572.07,28938.860000000004,2633.209999999999,133129.43
55600,467 - REVISION OF HIP OR KNEE REPLACEMENT W CC,140091,THE CARLE FOUNDATION HOSPITAL,611 WEST PARK STREET,URBANA,IL,61801,IL - Urbana,12,110104.17,29634.67,17979.42,11655.25,Illinois,R,IL- R,1321250.04,355616.04,215753.03999999998,139863.0,110104.17,29634.67,17979.42,11655.25,80469.5
56031,467 - REVISION OF HIP OR KNEE REPLACEMENT W CC,140116,CENTEGRA HEALTH SYSTEM - MC HENRY HOSPITAL,4201 MEDICAL CENTER DRIVE,MCHENRY,IL,60050,IL - Elgin,14,89150.0,21543.0,20423.0,1120.0,Illinois,R,IL- R,1248100.0,301602.0,285922.0,15680.0,89150.0,21543.0,20423.0,1120.0,67607.0
56143,467 - REVISION OF HIP OR KNEE REPLACEMENT W CC,140117,PRESENCE RESURRECTION MEDICAL CENTER,7435 W TALCOTT AVENUE,CHICAGO,IL,60631,IL - Chicago,11,89725.0,24617.36,23367.55,1249.8100000000013,Illinois,R,IL- R,986975.0,270790.96,257043.05,13747.910000000014,89725.0,24617.36,23367.55,1249.8100000000013,65107.64000000001
56364,466 - REVISION OF HIP OR KNEE REPLACEMENT W MCC,140119,RUSH UNIVERSITY MEDICAL CENTER,1653 WEST CONGRESS PARKWAY,CHICAGO,IL,60612,IL - Chicago,11,117430.45,40990.55,37428.36,3562.1900000000023,Illinois,R,IL- R,1291734.95,450896.05000000005,411711.96,39184.090000000026,117430.45,40990.55,37428.36,3562.1900000000023,76439.9
56365,467 - REVISION OF HIP OR KNEE REPLACEMENT W CC,140119,RUSH UNIVERSITY MEDICAL CENTER,1653 WEST CONGRESS PARKWAY,CHICAGO,IL,60612,IL - Chicago,90,90963.58,34250.62,26283.51,7967.110000000004,Illinois,R,IL- R,8186722.2,3082555.8000000003,2365515.9,717039.9000000004,90963.58,34250.62,26283.51,7967.110000000004,56712.96000000001
56366,468 - REVISION OF HIP OR KNEE REPLACEMENT W/O CC/MCC,140119,RUSH UNIVERSITY MEDICAL CENTER,1653 WEST CONGRESS PARKWAY,CHICAGO,IL,60612,IL - Chicago,37,63417.16,32602.11,17818.03,14784.080000000002,Illinois,R,IL- R,2346434.92,1206278.07,659267.11,547010.9600000001,63417.159999999996,32602.11,17818.03,14784.080000000002,30815.049999999996
56643,467 - REVISION OF HIP OR KNEE REPLACEMENT W CC,140127,ADVOCATE BROMENN MEDICAL CENTER,1304 FRANKLIN AVENUE,NORMAL,IL,61761,IL - Bloomington,15,60251.13,17798.67,16980.13,818.5399999999972,Illinois,R,IL- R,903766.95,266980.05,254701.95,12278.099999999959,60251.13,17798.67,16980.13,818.5399999999972,42452.45999999999
56699,467 - REVISION OF HIP OR KNEE REPLACEMENT W CC,140130,NORTHWESTERN LAKE FOREST HOSPITAL,1000 N WESTMORELAND ROAD,LAKE FOREST,IL,60045,IL - Evanston,12,123580.25,21574.75,17348.17,4226.580000000002,Illinois,R,IL- R,1482963.0,258897.0,208178.03999999998,50718.96000000002,123580.25,21574.75,17348.17,4226.580000000002,102005.5
56859,467 - REVISION OF HIP OR KNEE REPLACEMENT W CC,140135,DECATUR MEMORIAL HOSPITAL,2300 NORTH EDWARD STREET,DECATUR,IL,62526,IL - Springfield,34,67272.59,18252.91,17280.85,972.0600000000013,Illinois,R,IL- R,2287268.06,620598.94,587548.8999999999,33050.040000000045,67272.59,18252.91,17280.85,972.0600000000013,49019.68
57066,467 - REVISION OF HIP OR KNEE REPLACEMENT W CC,140148,MEMORIAL MEDICAL CENTER,701 N FIRST ST,SPRINGFIELD,IL,62781,IL - Springfield,32,94577.62,23909.88,19733.22,4176.66,Illinois,R,IL- R,3026483.84,765116.16,631463.04,133653.12,94577.62,23909.88,19733.22,4176.66,70667.73999999999
57067,468 - REVISION OF HIP OR KNEE REPLACEMENT W/O CC/MCC,140148,MEMORIAL MEDICAL CENTER,701 N FIRST ST,SPRINGFIELD,IL,62781,IL - Springfield,32,78852.59,17650.03,16302.28,1347.7499999999982,Illinois,R,IL- R,2523282.88,564800.96,521672.96,43127.99999999994,78852.59,17650.03,16302.28,1347.7499999999982,61202.56
57413,467 - REVISION OF HIP OR KNEE REPLACEMENT W CC,140162,ST JOSEPH MEDICAL CENTER,2200 E WASHINGTON,BLOOMINGTON,IL,61701,IL - Bloomington,12,120071.08,17959.42,17196.42,763.0,Illinois,R,IL- R,1440852.96,215513.03999999998,206357.03999999998,9156.0,120071.08,17959.42,17196.42,763.0,102111.65999999999
57559,467 - REVISION OF HIP OR KNEE REPLACEMENT W CC,140166,ST MARYS HOSPITAL,1800 E LAKE SHORE DR,DECATUR,IL,62521,IL - Springfield,13,101838.08,25045.46,14176.54,10868.919999999998,Illinois,R,IL- R,1323895.04,325590.98,184295.02000000002,141295.95999999996,101838.08,25045.46,14176.54,10868.919999999996,76792.62000000001
58196,467 - REVISION OF HIP OR KNEE REPLACEMENT W CC,140186,RIVERSIDE MEDICAL CENTER,350 N WALL ST,KANKAKEE,IL,60901,IL - Joliet,11,87973.45,21201.82,20209.09,992.7299999999996,Illinois,R,IL- R,967707.95,233220.02,222299.99,10920.029999999995,87973.45,21201.82,20209.09,992.7299999999996,66771.62999999999
58505,466 - REVISION OF HIP OR KNEE REPLACEMENT W MCC,140200,ELMHURST MEMORIAL HOSPITAL,155 EAST BRUSH HILL ROAD,ELMHURST,IL,60126,IL - Melrose Park,12,212817.83,31832.25,30959.58,872.6699999999983,Illinois,R,IL- R,2553813.96,381987.0,371514.96,10472.039999999979,212817.83,31832.25,30959.58,872.6699999999983,180985.58
58506,467 - REVISION OF HIP OR KNEE REPLACEMENT W CC,140200,ELMHURST MEMORIAL HOSPITAL,155 EAST BRUSH HILL ROAD,ELMHURST,IL,60126,IL - Melrose Park,48,132342.77,25521.02,18427.75,7093.27,Illinois,R,IL- R,6352452.959999999,1225008.96,884532.0,340476.96,132342.77,25521.02,18427.75,7093.27,106821.74999999999
58507,468 - REVISION OF HIP OR KNEE REPLACEMENT W/O CC/MCC,140200,ELMHURST MEMORIAL HOSPITAL,155 EAST BRUSH HILL ROAD,ELMHURST,IL,60126,IL - Melrose Park,44,110363.36,22036.11,14460.95,7575.16,Illinois,R,IL- R,4855987.84,969588.8400000001,636281.8,333307.04,110363.36,22036.11,14460.95,7575.16,88327.25
58862,467 - REVISION OF HIP OR KNEE REPLACEMENT W CC,140208,ADVOCATE CHRIST HOSPITAL & MEDICAL CENTER,4440 W 95TH STREET,OAK LAWN,IL,60453,IL - Blue Island,17,93494.76,29633.0,23155.29,6477.709999999999,Illinois,R,IL- R,1589410.92,503761.0,393639.93,110121.06999999998,93494.76,29633.0,23155.29,6477.709999999999,63861.759999999995
58863,468 - REVISION OF HIP OR KNEE REPLACEMENT W/O CC/MCC,140208,ADVOCATE CHRIST HOSPITAL & MEDICAL CENTER,4440 W 95TH STREET,OAK LAWN,IL,60453,IL - Blue Island,14,64115.57,24012.21,17992.5,6019.709999999999,Illinois,R,IL- R,897617.98,336170.94,251895.0,84275.93999999999,64115.57,24012.21,17992.5,6019.709999999999,40103.36
58990,467 - REVISION OF HIP OR KNEE REPLACEMENT W CC,140209,METHODIST MEDICAL CENTER OF ILLINOIS,221 N E GLEN OAK AVE,PEORIA,IL,61636,IL - Peoria,17,95214.47,21052.35,19488.53,1563.8199999999997,Illinois,R,IL- R,1618645.99,357889.94999999995,331305.01,26584.939999999995,95214.47,21052.35,19488.53,1563.8199999999997,74162.12
59399,467 - REVISION OF HIP OR KNEE REPLACEMENT W CC,140223,ADVOCATE LUTHERAN GENERAL HOSPITAL,1775 DEMPSTER ST,PARK RIDGE,IL,60068,IL - Evanston,49,60898.59,27916.37,22851.96,5064.41,Illinois,R,IL- R,2984030.9099999997,1367902.13,1119746.04,248156.09,60898.59,27916.37,22851.96,5064.41,32982.219999999994
59501,467 - REVISION OF HIP OR KNEE REPLACEMENT W CC,140224,PRESENCE SAINT JOSEPH HOSPITAL - CHICAGO,2900 NORTH LAKE SHORE DRIVE,CHICAGO,IL,60657,IL - Chicago,13,119709.46,27509.46,25573.0,1936.4599999999991,Illinois,R,IL- R,1556222.98,357622.98,332449.0,25173.97999999999,119709.45999999999,27509.46,25573.0,1936.4599999999991,92200.0
59583,468 - REVISION OF HIP OR KNEE REPLACEMENT W/O CC/MCC,140228,SWEDISH AMERICAN HOSPITAL,1401 EAST STATE STREET,ROCKFORD,IL,61104,IL - Rockford,12,136229.67,18571.08,17479.08,1092.0,Illinois,R,IL- R,1634756.04,222852.96000000002,209748.96000000002,13104.0,136229.67,18571.08,17479.08,1092.0,117658.59000000001
59842,468 - REVISION OF HIP OR KNEE REPLACEMENT W/O CC/MCC,140233,SAINT ANTHONY MEDICAL CENTER,5666 EAST STATE STREET,ROCKFORD,IL,61108,IL - Rockford,20,59858.5,15614.85,14308.65,1306.2000000000007,Illinois,R,IL- R,1197170.0,312297.0,286173.0,26124.000000000015,59858.5,15614.85,14308.65,1306.2000000000007,44243.65
60107,467 - REVISION OF HIP OR KNEE REPLACEMENT W CC,140242,CENTRAL DUPAGE HOSPITAL,25 NORTH WINFIELD ROAD,WINFIELD,IL,60190,IL - Melrose Park,51,162947.1,23464.45,20778.51,2685.9400000000023,Illinois,R,IL- R,8310302.100000001,1196686.95,1059704.01,136982.94000000012,162947.1,23464.45,20778.51,2685.9400000000023,139482.65
60108,468 - REVISION OF HIP OR KNEE REPLACEMENT W/O CC/MCC,140242,CENTRAL DUPAGE HOSPITAL,25 NORTH WINFIELD ROAD,WINFIELD,IL,60190,IL - Melrose Park,40,130645.35,19412.1,16189.52,3222.579999999998,Illinois,R,IL- R,5225814.0,776484.0,647580.8,128903.19999999992,130645.35,19412.1,16189.52,3222.579999999998,111233.25
60386,467 - REVISION OF HIP OR KNEE REPLACEMENT W CC,140252,NORTHWEST COMMUNITY HOSPITAL 1,800 W CENTRAL ROAD,ARLINGTON HEIGHTS,IL,60005,IL - Evanston,11,53270.0,19865.0,18671.18,1193.8199999999997,Illinois,R,IL- R,585970.0,218515.0,205382.98,13132.019999999997,53270.0,19865.0,18671.18,1193.8199999999997,33405.0
60541,467 - REVISION OF HIP OR KNEE REPLACEMENT W CC,140258,ALEXIAN BROTHERS MEDICAL CENTER 1,800 W BIESTERFIELD RD,ELK GROVE VILLAGE,IL,60007,IL - Melrose Park,16,92264.06,21477.19,19985.25,1491.9399999999987,Illinois,R,IL- R,1476224.96,343635.04,319764.0,23871.03999999998,92264.06,21477.19,19985.25,1491.9399999999987,70786.87
60542,468 - REVISION OF HIP OR KNEE REPLACEMENT W/O CC/MCC,140258,ALEXIAN BROTHERS MEDICAL CENTER 1,800 W BIESTERFIELD RD,ELK GROVE VILLAGE,IL,60007,IL - Melrose Park,11,71298.64,17434.91,16121.45,1313.4599999999991,Illinois,R,IL- R,784285.04,191784.01,177335.95,14448.05999999999,71298.64,17434.91,16121.45,1313.4599999999991,53863.73
60757,467 - REVISION OF HIP OR KNEE REPLACEMENT W CC,140276,LOYOLA UNIVERSITY MEDICAL CENTER,2160 S 1ST AVENUE,MAYWOOD,IL,60153,IL - Melrose Park,15,71661.6,29573.53,26951.93,2621.5999999999985,Illinois,R,IL- R,1074924.0,443602.94999999995,404278.95,39323.99999999998,71661.6,29573.529999999995,26951.93,2621.5999999999985,42088.07
60758,468 - REVISION OF HIP OR KNEE REPLACEMENT W/O CC/MCC,140276,LOYOLA UNIVERSITY MEDICAL CENTER,2160 S 1ST AVENUE,MAYWOOD,IL,60153,IL - Melrose Park,11,47410.09,23545.82,21805.18,1740.6399999999994,Illinois,R,IL- R,521510.99,259004.02,239856.98,19147.039999999994,47410.09,23545.82,21805.18,1740.6399999999994,23864.269999999997
